prompts
wow that
two seats
yes
sure lan
tr4887 leaves
the good
"right ,"
thanks and
the tr0467
which part
sorry do
train tr4975
tr2045 will
two are
just did
saffron brasserie
tr1681 is
ok !
tr5600 leaves
cocum 's
everyone loves
both alexander
meghna 's
451 newmarket
starting what
hold on
okay sure
train tr5056
you came
the jesus
the car
the addres
train tr0440
the little
the anatolia
the tr4235
tr4212 leaves
okay where
please stop
cb12lf .
kings college
club salsa
the tr420
the most
train tr3000
train tr4824
4 stars
there postal
they both
tr9102 arrives
tr5298 leaves
absolutelyking 's
i suggest
tr1662 departs
there s
absoluting i
tr2854 leaves
sure no
tr8143 departs
tr3330 will
15 trains
tr5711 will
sure on
now that
booking has
tr7786 will
the acorn
tr9320 will
on friday
well what
we will
you would
sure many
well i
tr5570 will
the tr5859
the table
both hotel
tr3353 leaves
where in
then may
tr3387 arrives
great hit
your grey
wandlebury 's
the autumn
unfortunately ashley
there must
tr8143 departs
"ah ,"
their fee
tr8933 will
cambridge arts
is yu
i unfortunately
okay any
adress is
tr5484 is
tr6159 leaves
63 milton
the tr9561
shall i
what night
tr7349 will
the tr9487
sala thong
for guesthouses
i ahve
01223727410
why do
that police
therea are
your welcome
sure do
the tr4494
on which
alright tr2239
why sure
"tr2987 ,"
saffron brasserie
yes finches
what an
great it
train tr8292
the riverboat
train tr8699
the tr2001
i have
get them
well do
each train
of course
allenbell is
there appears
i show
is this
tr5146 will
the tr6715
it had
curry king
we booked
"certain ,"
tr7852 looks
zizzi cambrdige
as i
an entrance
should it
yeah sore
the tr1662
my listings
that booking
look for
just did
tr8126 arrives
we currently
the tenpin
congradulatoions your
okayjust to
sounds wonderful
sorry bout
then the
woudl you
sure let
there was
the ayesbray
their main
jesus lane
these is
glad to
wonderful how
tr2016 leaves
tenpin 's
a total
tr1828 is
the european
great day
one in
tr2833 departs
actual -ly
which place
tr1036 will
kings college
funky 's
that narrowed
train tr1120
two are
01223356555 is
we currently
tr6517 leaves
"cambridge ,"
which hotel
admission is
yes where
train tr1800
the byard
the huntington
tr9605 leaves
okwhat time
tenpin can
is a
before you
anything in
tr5972 leaves
that guesthouse
tuesday at
17 magdalene
tr6939 is
okay !
ok for
yeah any
here is
wagamama is
yes this
sory can
is free
tr5484 leaves
that number
address :
wagamama is
the 16:09
panahar is
the tr3735
at 4
yes indeed
the number
the tr4669
tr3371 leaves
first train
the entry
does the
the soul
train tr0678
ca i
perhaps we
what about
your looking
our records
india house
when will
01223240089 is
the gandhi
tr4651 from
okay happy
the tr9905
all four
their is
avalon does
ok fantastic
unfortunately with
the yipppee
the ali
that sounds
lucky star
tuesday at
train tr8335
its ok
tr9102 arrives
meghna is
there phone
their entrance
tr9448 leaves
booked your
the tr5484
if price
each ticket
train tr0189
my fault
what station
your total
restaurant one
tr0552 departs
the location
alright sounds
hello !
"anatolia ,"
the tr2001
yes bridge
have we
the tr3246
fantastic .
before going
tr6224 would
to help
tr0141 will
that hospital
that type
the tr7047
hope you
the india
its no
train tr2145
tr0757 leaves
tr4689 is
no worries
train tr0440
unfortunately bookings
there a
train tr8585
yes sir
that gives
other than
the expensive
tr5713 leaves
than you
hi !
the tr4235
congratulations you
frankie and
yes several
i think
tr0774 arrives
tr8361 will
yes tr2118
the kohinoor
there 35
what ype
what cuisine
when would
the tr0516
absolutely .
7g6oj8g2 is
the grafton
the arrival
glad i
red skoda
you've been
tr9063 arrives
kymmoy offers
great to
you would
great how
yes tr4765
is an
train tr5953
booking was
nandos serves
okay !
tr1148 leaves
yes tr4765
okay churchill
the bryard
the graffiti
train tr8792
i recommendvlittle
train tr0146
tr3577 will
tr2078 leaves
eraina has
the junction
tr8860 departs
tr6516 departs
tr6210 arrives
as far
nothing fits
the saint
tr7940 will
done and
tr3434 has
tr5886 leaves
where are
you chose
all 10
great saint
the tr5703
yes can
i apologize
okwhat day
well here
tr5473 leaves
tr4757 leaves
train tr0394
lynne stover
black bmw
train tr5953
sorry !
tr8126 arrives
tr8792 is
why yes
tr8504 will
lol .
bedouin at
okay that
i still
the tr1499
tr0680 will
tr8636 leaves
the tr5797
yes midsummer
darry 's
which part
lock fyne
ok i
okay can
tr5285 arrives
telephone :
give us
tr6958 leaves
all 2
contacting the
the tr2974
tr8026 arrives
the entries
tr2815 arrives
warkworth house
train tr9345
okay i'll
admission is
the churchill
the tr9714
sorry it
"cb23pq ,"
ok !
what date
reservation for
may i
two two
tr6247 leaves
they have
alright you
what a
tr2141 leaves
meghina 's
eight people
your tickets
a table
tr7786 will
"goos-bye ,"
the price
great !
train tr1691
the tr0044
gourmet burger
the tr3544
their is
the varsity
what an
our cheap
that booking
the tr7015
all trips
tr0919 leaves
before we
tr8730 has
duration for
the tr5570
the tr7047
well if
oops .
sure are
two two
tr7468 would
sure when
tr3343 will
sure your
7 of
no .
"i""m sorry"
the booked
phone: 01954714600
alexander b
would cambridge
a ticket
it does
the tr7349
"anytime ,"
yes tr2118
train tr0686
what i
i heaar
red toyota
travel time
train tr1163
3 people
when booking
tr9835 arrives
you've been
booking for
the la
"01223337766 ,"
your looking
ballare has
train tr4765
no expensive
the phone
tr3130 will
the soonest
train tr7850
good-bye .
train tr0798
train tr2052
tr7043 departs
tr5124 arrives
great i
they both
my database
the tr4226
yeson tuesday
i feel
17.60 pounds
the tr1662
train tr6662
tr5921 departs
best of
your party
give me
hello .
two seats
does location
yes is
your stay
tr6003 leaves
train tr7850
the tr7583
booking successful
train tr2874
for town
kitchen and
cambridge does
tr1428 departs
okay now
tr8118 is
the acute
tr0033 departs
train tr9209
the emergency
meze bar
which offers
01223356555 is
oh sure
i apologize
be careful
kindly be
the mahal
and *i*
we will
my records
their address
post code
congradulatoions your
we're fortunate
rice boat
pizza hut
phone: 01954714600
and is
tr4698 leaves
cambridge lodge
unfortunately this
the tr3085
the tickets
tr2292 departs
the city
the 15:21
the tr1047
tr9956 i
the holiday
the police
the tr6898
easy enough
train tr1492
then cityroomz
cinema cinema
you need
absolutelythe adc
the police
your taxi
the room
your grey
the tr8272
the tr2885
moderate range
to book
okay now
alexander is
tr7447 leaves
the park
tr1553 leaves
the a
tr7827 leaves
adress is
da vince
the tr7721
what days
what food
okay anytime
addenbrookes hosptial
please modifiy
no information
the tr3938
okay have
i'll be
great thanks
tr8813 arrives
travel times
camboats is
aylesbray lodge
that went
the cherry
that hospital
city cenrtree
first train
105 minutes
tr7468 would
tr0953 going
tr5921 departs
five trains
riverside brasseri
the tr7683
i beg
what nights
its address
regent street
good news
trainid departure
ok thanks
train tr6688
tr4249 leaves
both of
great choice
yes they
the castle
will the
train tr4863
on which
tr2153 arrives
great news
that ticket
booked your
tr1731 will
tr2776 will
graffiti 's
cb58wrwould you
"first ,"
where would
the taxi
old schools
do have
you do
camboats address
tr2098 will
not sure
the british
tr2436 will
i beg
the post
yep there
unfortunately there
yes yur
it fills
zizzi is
could i
tr7151 has
yes all
feel better
which museum
you came
both options
train tr6725
the outdoor
magdalene college
tr9424 will
their telephone
tr1428 departs
it may
the tr8134
got you
kings hedges
i glad
train tr9969
you now
all 6
with so
tr0466 leaves
education is
train id#tr5435
the tr4828
the tr0044
no results
01223362525 .
okay to
first i'll
your contact
that sounds
tr3177 will
there 2
"gonville ,"
train tr9831
tr6759 leaves
there address
then booking
tr5484 is
sometimes we
of coursethe
the arbury
the star
what city
cb39et cb39et
tr0552 departs
train tr3234
tenpin can
goodbye !
tr3339 is
tr8224 arrives
tr9933 departs
christ college
great where
two are
the tr0467
you leave
train tr3390
among the
please modifiy
tr9202 would
all architecture
i searched
vkjgwfnr is
tr4748 leaves
alright have
success .
wandlebury 's
sure the
you as
tr7020 departs
to you
ok !
tr1709 leaves
tr6334 is
tr8913 will
perfect !
you booking
postcode: cb43nl
and from
queen 's
sure let
yes michaelhouse
tr3052 will
yes several
tr4216 arrives
tr7310 is
tr5219 is
i should
pardon me
people 's
cb13ef .
the tr0017
i booked
"phone ,"
sure -ly
there 2
the j
lynne strover
all 8
please give
ok have
price -s
i managed
tr9420 will
12.80 pounds
"first ,"
travellers rest
you can
no its
01223323178 is
24 green
ashley hotel
no 2
the travel
tr5358 leaves
well all
tr7355 arrives
tr9956 i
the tr6045
tr8135 departs
fantastic !
tr2950 arrives
"nandos ,"
the dojo
as stated
the college
the tr9892
the tr0071
tr3434 has
"congratulations ,"
trains go
sounds wonderful
please clarify
which offers
its ok
okay thank
reservations are
let me
yes many
train tr5686
the loch
tr0212 departs
you want
there earliest
and is
saffron brasserie
huntingdon marriott
enjoy your
it'll be
hakka and
sure phone
its listed
their number
thre are
yippee noodle
what kind
that time
great i
tr6834 leaves
tr2475 arrives
frankie and
tr0904 has
ok id
the tr0017
perhaps i
bye now
tr0141 will
you already
noone in
o booked
prezzo in
sounds good
hi there
tr4828 departs
you already
tr2616 departs
5 pounds
you got
the tr2503
well there
the tr3173
the postcode
train tr7307
alright then
camboats address
it look
tr8509 will
cityroomz hotel
tr0743 is
the tr6366
trains all
the system
the address
the tr1058
any departure
train tr0315
you will
i pulled
call back
train tr2874
tr8604 leaves
tr5694 leaves
there appear
my last
sorry unfortunately
tr9999 leaves
reservation reserved
"hm ,"
also have
sorry do
that specific
graffiti 's
alright when
your most
among the
your set
no matching
the are
hamilton lodge
the tr0088
we show
alright have
train tr7656
your 3
tr0532 departs
tr5488 will
nando 's
cb23nz is
tr9956 i
king 's
tr6163 is
the tr2730
that type
01223334200 is
your driver
in expensive
your party
again that
anytime !
tr2835 will
north 154
the cops
tr1006 arrives
train# tr7759
more specifically
cheap we
cb23nz is
not a
ok thank
"01223248882 ,"
its in
camboats in
christs college
as i
the tr0776
their address
tr1688 leaves
tr0680 will
yes its
said to
your black
unfortunately not
07903665107 is
please find
the graffitti
tr5056 leaves
okayjust to
your arrival
tr7310 is
you do
maybe old
number is
alright and
train tr1262
"indeed ,"
great news
that will
absolutely your
tr8207 arrives
tr2025 leaves
"haha ,"
the pipasha
tr2939 leaves
the ugly
let me
hope you
the tr3456
the graffiti
train tr2730
train tr1163
train tr8699
the tr9407
i definite
the tr0684
the tr9900
the peking
hotel du
no problem
the tr6045
restaurant two
which specific
the man
city center
cb21tt is
yes adress
01223243830 .
tr7092 leaves
the tr8510
the model
"tr6583 ,"
all set
tr0315 is
the man
tr6386 departs
train tr8903
i'll get
then booking
tr9823 will
cambridge 's
cherry hinton
tr1339 is
sure phone
tr2826 leaves
tr8933 will
to you
tr6312 departs
alright then
its no
i happen
yes limehouse
tr3057 will
"sure ,"
train tr7900
when are
riverside brasseri
tr1704 will
what would
want to
tr7397 leaves
its phone
sorry it
01223336540 it
please let
the typical
okay sounds
sure we
cote can
either anatolia
do you
north 154
great to
01223243830 is
i quite
the tr0995
train tr3447
"right ,"
yes expect
"ballare ,"
yes many
the avalon
51 trumpington
we got
parkside pool
found 2
no entertainment
tr2974 will
whale of
tr1765 leaves
train tr9102
both of
is your
your room
47 minutes
its postal
the tr2232
you have
as for
train tr9741
tr6626 leaves
13.28 pounds
the alpha-minton
train tr7656
pardon me
alexander b&b
it departs
your room
yes they
tr5529 leaves
tr0315 is
please clarify
that we
it fits
i will
howe about
train tr3154
before you
tr1502 arrives
allenbell matches
okay for
you take
got you
el shaddai
tr5285 leaves
tr2083 will
which site
there no
i regret
very please
first train
tr2621 arrives
tr1581 leaves
no .
please provide
addenbrookes hosptial
your cab
their phone
tr4698 leaves
we dont
this time
before reserving
our pleasure
the tr2420
anatolia meets
yes to
bridge guesthouse
before booking
train tr6368
wow !
no worries
the kirkwood
congratulations you
okay great
the yipppee
tr3891 leaves
train tr7195
the tr3043
train tr8530
the tr4800
tr9675 leaves
we dont
please feel
which section
train tr4931
train tr9460
no that
the golden
congratulations you
tr2000 takes
tr2006 is
the tr6067
tr4537 has
the tr2863
please modifiy
there ar
tr4625 arrives
the royal
i need
which type
clowns cafe
tr2586 arrives
train tr9310
than you
yes to
their telephone
postcode: cb43nl
the tr0254
thank and
the tr3544
tr0718 arrives
the tr0088
tr2175 will
the tr0559
the stazione
the taj
tr8335 arrives
nothing matches
lucky star
they system
yes booking
tr3420 will
booking is
tr2630 leaves
the location
yesm there
a very
these are
and will
their post
where on
a few
the alpha-minton
the cityroomz
tr5499 leaves
good by
the j
which type
all are
would a
the next
tr5154 takes
tr9424 will
thanks
tr3128 will
unfortunately none
the thanh
your welcome
2uovp3e0 is
eight people
okay if
tr0035 arrives
sure your
most are
what day
tr5971 departs
the medical
i always
yes cote
that was
the tr5298
"the ""yu"
tr2631 arrives
vue cinema
wagamama serves
152154 hills
i'll also
the expensive
yes don
7 of
success .
the tr2759
that can
then you
okay tr2442
01223362525 .
the limehouse
the tr3412
i understand
the trainid
two do
find them
i only
"cb23ll ,"
hi this
tra tr0922
their is
okay glad
in review
backstreet bistro
wandlebury 's
okis there
that narrows
kings college
tr8410 will
sure we
train tr0927
a reservation
tr3637 will
which station
tr3769 departs
anything in
tell the
is there
the gardens
graffiti serves
done .
tr2420 leaves
24 green
eraina is
see where
surethe phone
the tr9905
what area
okay tr2442
worth house
the ayesbray
wow !
tr4537 has
train tr8829
the sheep
so glad
train tr9831
tr4638 leaves
tr3371 leaves
5 pounds
cheap price
three guesthouses
tr8842 arrives
tr6971 departs
tr2974 will
also the
the 1st
the da
the alpha-milton
post code
saint catharine
your stay
tr7802leaves 09.40
train tr1549
w8yhjksv is
thank your
then we
for a
the thanh
does price
reference number:
"perfect ,"
nothing matches
okay fantastic
whipple museum
hamiliton lodge
tr0774 arrives
tr8882 departs
sounds wonderful
the meghna
ttr7278 leaves
tr9675 leaves
the tr2211
no quite
train tr9611
the vue
we are
"nope ,"
another option
the tr7309
to be
the tr9714
anatolia and
absolutelyking 's
williams art
the free
my suggestions
"thanks ,"
tr4863 leave
the tr4015
great hit
the tr4288
the tr2420
the fez
i actual
tr2494 will
tr3736 arrives
your red
adc theater
and free
ok what
provided information
tr3212 leaves
train tr1262
cambridge museum
"anatolia ,"
tr1755 is
yeah .
reference number
tr5212 departs
the tr3805
they offer
happy to
the tr6310
let 's
tr6834 departs
the tr9704
nandos serves
allenbell has
good choice
i wish
the tr3005
train tr8500
their contact
which section
yes postcode
curry prince
and *i*
the tr7177
entrance is
okay brah
of coursesorry
yellow honda
the museum
alrightyou are
51 trumpington
rainid departure
the tr7430
tr3343 will
booking is
i absolutely
tr1688 leaves
tr9102 arrives
your reservations
tr2863 departs
the respiratory
all the
9725nvqd is
tr1036 will
which will
train tr9495
the cow
contact information
the tr7285
the eraina
great choice
cityroomz aligns
tr7310 is
tr2636 is
hakka 's
the tr2292
lets finish
"011223464646 ,"
tr2016 leaves
alright !
your most
try clubbing
the tr9084
"nope ,"
the tr9448
tr6312 departs
156 chesterton
the cambridge
"architecture ,"
of how
hope you
their address
tr8331 leaves
tr1871 arrives
that trainid
yes .
the room
cambridge leisure
does it
for how
the tr5538
tr4288 arrives
tr8662 runs
was that
these is
park street
ruskin gallery
tr4216 arrives
its listed
tr4990 departs
the tr3390
will an
yup there
sesame restaurant
i cancelled
hello .
the tr7610
great day
will it
train tr5953
the tr9407
ashley hotel
tr9999 leaves
tr2939 would
so it
tr5965 leaves
my system
i need
the tr8974
tr4283 leaves
i'll need
12 of
curry garden
can please
to clarify
nirala is
scudamores is
tr4249 leaves
byard art
my apologies
tr7329 leaves
we can
cambridge to
cafe jello
addenbrookes has
okay great
hi .
i'll be
wonderful .
and where
hope you
7.84 pounds
tr3515 will
in addition
train 8665
train tr6105
you might
eraina in
bangkok city
ok am
nandos postcode
ok do
it'll be
tr5711 will
the bryard
tr3947 leaves
i apologizethat
kindly be
08712240240 .
it sure
wagamama serves
ok expect
01223292094 is
tr5285 leaves
tr939 leaves
it leaves
your most
i ahve
what sort
you've got
thank yo
"sorry ,"
"01223245151 ,"
entrance to
a very
great there
i still
cb58bs jesus
i got
oh you
how silly
01223240089 is
yes don
addenbrokes hospital
contact information
the tr5767
yes train
unfortunately we
unfortunately not
01223336540 it
all 2
cocum serves
charlie chan
the tr3702
greathow can
when do
to what
primavera 's
tickets for
tr1828 is
yes street
thank your
15 trains
tr8476 will
what i
where you
tr1342 leaves
allenbell looks
tr0467 leaves
my preference
tr7178 departs
i really
tr5725 leaves
read the
for just
luck is
sure why
what department
train tr0678
i would
and do
camboats phone
why yes
the british
tr2833 departs
the tr6310
train tr8310
train tr1492
tr7966 departs
tr8580 leaves
tr3433 will
the main
the respiratory
it is
i managed
tr0315 is
the park
the tr3571
tr1828 will
01223308871 will
tr6488 departs
the alexdander
train tr0440
its an
curry prince
please specify
tr8135 departs
the tr3697
the tr5170
no restaurant
their travel
all available
i suggest
the tr0277
tr1590 leaves
sure let
train tr3138
absoluting i
but how
tr7423 cambridge
their main
okay looks
how man
booking was
best of
one night
oh !
hakka is
that police
i looked
i happen
you train
tr1610 leaves
the exact
it costs
the tr8488
tr3450 leaves
tr2129 leaves
meghina 's
the tr8070
cocum is
addebrookes hospital
"well ,"
tr 8292
do have
tr4689 is
the tr4669
train tr5154
there multiple
tr8017 will
indeed we
asian or
that information
what place
"tr2987 ,"
train 0277
then in
okay shanghai
emmanuel college
get them
tr1159 will
duration for
"tr6583 ,"
cityroomzs hotel
both facilities
tr0677 will
that hospital
tr2950 arrives
ok do
what cuisine
tr2083 will
trains go
yes thanh
tr6210 arrives
funky fun
yes tr4765
and thank
there do
the tr1006
what times
of coursethe
tr5219 is
tr8255 departs
consider clare
sorry the
university arms
all nightclubs
the urology
lovely guesthouse
sorry yes
cityroomz looks
the gardenia
tha adress
moderate price
tr5600 leaves
the tr8387
the hobsons
16.50 pounds
done and
of coursesorry
train tr8176
4 museums
you depart
"the ""yu"
is parkside
for expensive
train tr5863
tr6312 departs
well do
where you
neither are
okay !
which station
ok that
you've very
with the
"choices ,"
the lensfield
then booking
the mumford
tr8585 leaves
the 09:16
tr1039 departs
so ugly
tr4975 will
thanks again
the tr4943
five trains
tr4463 will
tr2636 is
the system
alright .
if your
sorry .
seems like
but of
tr5570 will
the adc
tr7747 leaves
tr3339 is
scadamores punting
"05:39 ,"
graffiti serves
i'll take
a few
my attempt
tr1688 leaves
good choice
street .
train tr5056
the tr5797
lock fyne
tr5972 leaves
tr5693 meets
absolutely you
tr5737 will
for how
tr4180 leaves
the curry
tr0415 leaves
the ghandi
train tr4259
tr3207 will
your travel
contacting the
yes travel
the latest
the swimming
booked !
the tr3330
sure its
tr5677 will
ok thank
train tr8903
tr5600 leaves
wow that
the 20:24
sure lan
tr1672 departs
since this
hutington marriot
my apologies
train tr5725
black bmw
tr6954 departs
hobsons house
take care
tr5413 leaves
you arr
wonderful how
i was
and for
hmmm .
its called
sorry for
please do
pizza express
graffiti is
tr8631 will
for architecture
gladly .
caffee uno
travel times
ok the
sure your
yes and
yes
please give
absolutely !
iam sorry
yes bridge
"wow ,"
it costs
this train
the 5:54
lots !
the center
seventeen location
as previously
great choice
they all
in the
broughton house
oh okay
you are
yes both
call us
visitors find
in that
i hve
get back
the tr3456
train tr8466
"great ,"
"none ,"
tr2636 is
this departs
tr1923 departs
tr6312 departs
yes little
01223362525 .
tr1952 leaves
right .
"um ,"
it was
the tr6045
tr6386 departs
have yourself
4-star accommodations
the archway
would you
which restuarant
great to
unfortunately bookings
i am
"awesome ,"
since that
tr5626 leaves
we sure
yeah any
tr7966 does
tr8431 leaving
the tr2625
train tr5773
de luca
"parkside ,"
unfortunately those
the tr1047
tr1704 arrives
tr1817 leaves
tr6806 will
5 of
the all
that museum
that too
we're glad
both warkworth
your booked
you depart
happy anniversary
the cow
35vbb0lk if
tr3934 looks
if the
the address
the british
all 8
train tr8699
le t
alright do
is is
train tr6799
that leave
tr5219 leaves
"fortunately ,"
the european
okay just
tr3211 leaves
autumn house
cinema cinema
cityroomz over
no you
tr7075 cambridge
total travel
that guest
there actual
please call
this gallery
tr6016 will
do yo
sure can
okay !
you did
found a
train tr5413
tr1328 leaves
cheap and
trains depart
great news
book another
tr4466 leaves
again that
were you
what can
both alexander
train tr6725
don pasquale
tr7618 arrives
the tr8026
perhaps i
the tr7966
a single
african huh
its on
surethe travel
tr4256 will
just let
just one
133 trains
yes of
we're always
one of
i want
it has
phone: 01954714600
yellow honda
wandlebury 's
"goodbye ,"
the tr9714
tr2630 leaves
"hmm ,"
yes midsummer
suretr9360 departs
telephone :
tr0919 leaves
club salsa
look out
tr3207 will
tandoori palace
that was
allright .
finches bed
what information
that phone
bye !
noone in
ok perfect
train tr5054
tr2941 arrives
da vince
gourmet burger
yeah all
train# tr7759
train tr5054
sadly i
"i ,"
one night
between which
most are
tr0767 leaves
the search
the saint
recommend pizza
tr2129 leaves
ok alexander
yes if
they sure
unfortunately bedouin
tr2631 arrives
"glad ,"
then may
oh i
four star
thank you
the tr4964
tra tr0922
sure i
where do
what area
that trip
you might
hi i
starting on
tr5711 will
total travel
01223357708i is
great glad
train tr8335
it does
yes street
wonderful .
tr4180 leaves
the tr4351
the tr1596
the kirkwood
when will
we only
tr1750 leaves
your seat
no expensive
your reservations
tr5390 is
4 guesthouses
each ticket
cambridge is
nandos is
our pleasure
no pools
tr0953 going
sure gonville
which restaurant
tr5225 arrives
they is
tr 2379
"kohinoor ,"
there address
the tr3470
tr8372 leaves
tr9635 will
tr6880 would
thanks alot
allenbell looks
tr6833 leaves
alright your
tr8932 will
you already
which offers
your looking
both restaurant
all three
the tr9276
where shall
tr9561 departs
the cambridge
ask serves
blue volkswagen
train tr3782
indeed we
for expensive
tr0471 leaving
it sure
what destination
for vietnamese
cb41da is
okay i
tickets for
i bookid
hakka 's
you too
tr5729 arrives
is cost
tr5089 arrives
the moderate
the tr8285
will an
the milton
oh of
tr2521 leaves
tr2361 will
all available
prezzo is
your vehicle
train number
01223314960 and
luckily there
train tr5389
definitelycambridge has
i find
train tr8519
bye bye
efes restaurant
not a
ok its
the tr1581
call us
the tr7147
feel better
the area
your passage
trainid tr6745
ok did
they did
not a
no problem
okay at
is that
have a
the prompt
okay sounds
most welcome
all saints
tr9445 departs
saint barnabas
35vbb0lk if
alright do
the eraina
according to
the tr7001
the tr7213
tr8522 arrives
train tr9892
the yippee
actual -ly
yes travel
ask serves
rainid departure
tr8813 departs
tr2257 will
yes as
the tr3173
starts from
tr0060 leaves
tr2860 leaves
cambridge leisure
that went
the gonville
the tr5507
tr 8292
sure thingthe
tr0992 will
tr0060 will
i got
train tr5473
train tr5484
"cb21en ,"
sure no
lovely guesthouse
i now
train tr6368
124 tenison
the fare
your red
train tr9969
train tr4863
nope .
the european
would leaving
reservations are
the zip
the tr9561
"hmmm ,"
the tr1389
allenbell guesthouse
the tr7966
nothing else
when is
train tr5389
it look
train tr5688
cb12dp .
alexander is
tr1755 arrives
well how
your black
